song_name,artist_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
"If I Can't Have You - From ""Saturday Night Fever""",Yvonne Elliman,50,177213,0.108,0.599,0.807,0,8,0.348,-6.971,0,0.0412,109.497,4,0.846
Sunny,Boney M.,65,242240,0.0876,0.647,0.868,0.124,0,0.129,-6.427,0,0.105,121.822,4,0.803
The Passenger,Iggy Pop,26,284066,0.0797,0.5,0.846,0,0,0.241,-8.098,1,0.0457,134.937,4,0.738
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,80,281613,0.386,0.602,0.522,1.44E-05,10,0.0941,-9.031,1,0.0285,136.637,4,0.36
Band On The Run - Remastered 2010,Paul McCartney,30,313026,0.0832,0.479,0.601,0.00142,7,0.11,-8.806,1,0.0318,124.966,4,0.669
Young Americans - 2016 Remastered Version,David Bowie,61,313706,0.171,0.614,0.763,0,4,0.119,-8.949,0,0.133,84.236,4,0.885
You Make Me Feel Like Dancing - Remastered,Leo Sayer,48,219466,0.0848,0.728,0.718,0,8,0.0579,-5.281,0,0.0501,95.922,4,0.733
Don't Go Breaking My Heart,Elton John,75,275440,0.177,0.728,0.824,1.48E-06,5,0.06,-8.632,1,0.0353,131.468,4,0.787
Maggie May,Rod Stewart,34,350266,0.559,0.605,0.574,0.113,2,0.0684,-10.536,1,0.0377,129.449,4,0.543
"Can't Get Enough Of Your Love, Babe",Barry White,55,270333,0.202,0.74,0.605,0.000107,5,0.0515,-10.924,1,0.0539,111.78,4,0.779
Dreadlock Holiday,10cc,24,267746,0.435,0.837,0.407,0.000487,7,0.174,-12.416,0,0.0563,105.013,4,0.922
Long Train Runnin',The Doobie Brothers,72,207266,0.0916,0.575,0.912,0.00211,7,0.0562,-7.275,0,0.0393,117.399,4,0.843
Take The Long Way Home - 2010 Remastered,Supertramp,23,308853,0.22,0.414,0.7,0.000721,5,0.114,-8.838,1,0.0301,76.79,4,0.37
What's Going On,Marvin Gaye,30,232600,0.105,0.245,0.833,0,1,0.359,-5.555,0,0.116,205.375,4,0.805
Strawberry Letter 23,The Brothers Johnson,17,298794,0.297,0.722,0.787,0.00706,7,0.146,-7.333,0,0.0508,90.839,4,0.708
Bat Out of Hell,Meat Loaf,52,293426,0.412,0.225,0.687,0.00142,5,0.147,-10.236,1,0.0462,173.494,4,0.611
"You're The First, The Last, My Everything",Barry White,15,206936,0.000679,0.633,0.542,0.00434,5,0.0754,-12.318,1,0.0316,130.314,4,0.879
Don't Stop,Fleetwood Mac,23,192133,0.0398,0.686,0.632,2.20E-06,9,0.0686,-11.433,1,0.0353,118.965,4,0.88
Jolene,Dolly Parton,22,161533,0.566,0.674,0.537,0,1,0.131,-10.971,0,0.0363,110.578,4,0.809
My Sharona,The Knack,16,293840,0.0393,0.58,0.732,0.00116,0,0.0821,-8.585,1,0.0358,147.194,4,0.883
(Don't Fear) The Reaper,Blue Öyster Cult,19,308440,0.00125,0.368,0.928,0.00111,9,0.301,-8.369,0,0.0593,141.175,4,0.532
Africa,Toto,70,296000,0.256,0.678,0.499,9.85E-05,9,0.051,-12.816,1,0.0308,92.627,4,0.718
Maneater - Radio Edit,Daryl Hall & John Oates,58,270946,0.0153,0.728,0.518,4.19E-05,11,0.103,-11.114,0,0.038,88.708,4,0.833
Maniac,Michael Sembello,72,244706,0.0891,0.617,0.533,4.04E-06,3,0.0415,-11.516,0,0.0651,158.86,4,0.835
Take On Me,a-ha,85,225280,0.018,0.573,0.902,0.00125,6,0.0928,-7.638,0,0.054,84.412,4,0.876
Every Breath You Take,The Police,45,253733,0.413,0.828,0.447,0.00335,1,0.074,-10.563,1,0.0349,117.391,4,0.676
Heaven,Bryan Adams,75,243360,0.0465,0.382,0.589,0,9,0.122,-7.315,0,0.0267,140.059,4,0.335
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,82,291293,0.207,0.709,0.824,0.000307,1,0.0888,-8.824,1,0.0453,118.814,4,0.867
I Want To Break Free,Queen,22,201000,0.0512,0.862,0.401,0.00607,4,0.18,-12.088,1,0.0374,109.142,4,0.8
Uptown Girl,Billy Joel,78,197706,0.0747,0.701,0.943,0,4,0.601,-2.986,1,0.0456,128.992,4,0.791
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,83,216933,0.227,0.692,0.711,0,0,0.12,-7.498,0,0.0317,125.135,4,0.875
Everybody Wants To Rule The World,Tears For Fears,40,251480,0.363,0.637,0.811,0.00451,7,0.107,-11.345,1,0.0583,112.053,4,0.552
Wake Me Up Before You Go-Go,Wham!,27,230693,0.186,0.618,0.764,0,0,0.12,-6.027,1,0.0562,81.366,4,0.876
Karma Chameleon,Culture Club,66,252760,0.214,0.661,0.552,0,10,0.206,-12.385,1,0.0337,92.056,4,0.928
Footloose,Kenny Loggins,73,226293,0.159,0.564,0.911,4.36E-05,2,0.118,-5.39,1,0.0536,173.938,4,0.582
You Can't Hurry Love,Phil Collins,34,175346,0.0674,0.639,0.923,0,7,0.0879,-5.708,1,0.032,97.874,4,0.761
We Are The World,U.S.A. For Africa,68,427333,0.189,0.528,0.447,0,4,0.0745,-15.255,1,0.0435,72.58,4,0.292
Walking On Sunshine,Katrina & The Waves,79,238733,0.0116,0.596,0.869,0.173,10,0.0678,-11.97,1,0.037,109.902,4,0.944
Don't Stop Believin',Journey,79,250986,0.127,0.5,0.748,0,4,0.447,-9.072,1,0.0363,118.852,4,0.514
Don't Dream It's Over,Crowded House,75,236933,0.0148,0.439,0.422,4.84E-05,8,0.0697,-17.227,1,0.0409,81.833,4,0.551
Billie Jean,Michael Jackson,84,293826,0.0236,0.92,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4,0.847
Born In The U.S.A.,Bruce Springsteen,54,278826,0.00201,0.397,0.861,2.49E-05,4,0.35,-12.156,1,0.0569,121.856,4,0.512
The Power Of Love,Huey Lewis & The News,71,234333,0.0964,0.768,0.829,2.92E-05,5,0.097,-5.109,1,0.0313,118.773,4,0.962
Bette Davis Eyes - Radio Edit; 1997 Remastered Version,Kim Carnes,26,221773,0.125,0.655,0.533,0,5,0.245,-12.173,1,0.03,116.055,4,0.515
Another One Bites The Dust - Remastered 2011,Queen,80,214653,0.112,0.933,0.528,0.312,5,0.163,-6.472,0,0.161,109.967,4,0.754
Down Under,Men At Work,76,220866,0.0485,0.746,0.79,0.0261,11,0.0534,-4.7,0,0.0257,107.231,4,0.891
Up Where We Belong,Joe Cocker,52,233240,0.597,0.573,0.429,8.18E-05,2,0.0839,-8.68,1,0.0294,139.097,4,0.361
Hungry Heart,Bruce Springsteen,68,199453,0.0857,0.641,0.894,0.009,8,0.157,-7.41,1,0.0273,109.823,4,0.972
I Knew You Were Waiting (For Me),George Michael,52,241920,0.274,0.727,0.68,0,4,0.31,-11.297,1,0.0445,107.775,4,0.683
Summer Of '69,Bryan Adams,80,216053,0.0183,0.508,0.834,0,2,0.0732,-6.205,1,0.0386,139.131,4,0.774
Heaven Is a Place on Earth,Belinda Carlisle,73,246520,0.0243,0.64,0.852,1.82E-06,1,0.0497,-8.119,0,0.0345,122.902,4,0.793
You Give Love A Bad Name,Bon Jovi,25,222706,0.0678,0.54,0.96,2.34E-06,0,0.342,-2.971,0,0.0521,122.761,4,0.802
Never Gonna Give You Up,Rick Astley,75,213573,0.115,0.721,0.939,3.79E-05,8,0.108,-11.823,1,0.0376,113.309,4,0.914
A Little Respect - 2009 Remastered Version,Erasure,70,213986,0.0299,0.607,0.784,3.85E-06,0,0.288,-7.963,1,0.0258,113.804,4,0.622
Livin' On A Prayer,Bon Jovi,78,249293,0.0778,0.532,0.887,0.000214,0,0.294,-3.757,1,0.0335,122.511,4,0.795
Everywhere,Fleetwood Mac,31,222733,0.218,0.69,0.54,0.00657,4,0.115,-10.516,1,0.0317,114.846,4,0.764
Come On Eileen,Dexys Midnight Runners,40,273720,0.413,0.466,0.615,0,0,0.343,-9.102,1,0.0492,108.016,4,0.812
I Still Haven't Found What I'm Looking For - Remastered 2007,U2,35,277480,0.0139,0.565,0.764,0.00488,1,0.079,-9.43,1,0.0351,100.891,4,0.686
Drive,The Cars,71,234493,0.124,0.582,0.606,0.00139,6,0.151,-9.961,1,0.0289,111.441,5,0.504
Don't You (Forget About Me),Simple Minds,74,260680,0.0843,0.672,0.792,0.0605,2,0.302,-7.033,1,0.0264,111.277,4,0.683
You Got It,Roy Orbison,68,210266,0.596,0.649,0.618,1.46E-06,9,0.192,-10.728,1,0.0265,114.688,4,0.667
Easy Lover,Philip Bailey,70,304506,0.0674,0.749,0.699,0.00192,1,0.0763,-13.108,1,0.0371,128.904,4,0.935
You Make My Dreams,Daryl Hall & John Oates,64,190706,0.261,0.737,0.569,0.311,5,0.046,-6.702,1,0.0553,167.196,4,0.912
Your Love,The Outfield,72,221840,0.103,0.555,0.757,1.16E-06,1,0.0631,-7.868,0,0.0601,129.607,4,0.582
I Love Rock 'N Roll,Joan Jett & The Blackhearts,66,175173,0.326,0.535,0.716,0,4,0.659,-5.025,1,0.0431,94.379,4,0.901
Maneater,Daryl Hall & John Oates,76,271893,0.0351,0.727,0.685,4.43E-05,11,0.0973,-7.159,0,0.0398,88.75,4,0.812
I'm So Excited,The Pointer Sisters,67,230640,0.0962,0.59,0.868,0.000322,5,0.442,-5.832,0,0.048,184.348,4,0.798
Black Velvet,Alannah Myles,72,287440,0.273,0.754,0.366,9.04E-05,8,0.106,-10.07,1,0.0312,91.147,4,0.469
We Built This City,Starship,75,296080,0.052,0.661,0.908,0,5,0.0708,-4.897,1,0.039,144.091,4,0.656
Should I Stay or Should I Go - Remastered,The Clash,79,188986,0.079,0.742,0.833,0,2,0.384,-6.463,1,0.115,113.375,4,0.816
Dancing In the Dark,Bruce Springsteen,75,241306,0.0115,0.527,0.942,0,1,0.188,-5.64,0,0.0366,148.723,4,0.495
Time After Time,Cyndi Lauper,74,243066,0.576,0.724,0.436,1.19E-06,0,0.0908,-9.321,1,0.0282,130.439,4,0.324
Thunderstruck,AC/DC,82,292880,0.000147,0.501,0.889,0.0114,4,0.217,-5.175,1,0.0364,133.519,4,0.257
Wake Me Up Before You Go-Go - Remastered,Wham!,62,232280,0.0986,0.607,0.795,0,0,0.059,-5.137,1,0.0496,81.298,4,0.815
Arthur's Theme (Best That You Can Do) - Remastered Version,Christopher Cross,69,234493,0.169,0.526,0.515,0.000816,9,0.181,-11.169,1,0.0389,136.543,4,0.518
Fast Car,Tracy Chapman,79,296800,0.313,0.711,0.292,0,4,0.131,-15.523,0,0.037,103.951,4,0.194
Holiday,Madonna,63,231560,0.0251,0.813,0.699,0.0135,7,0.0527,-8.656,1,0.0458,117.548,4,0.732
The Final Countdown,Europe,58,239120,0.0332,0.539,0.858,0.000347,6,0.0562,-4.639,0,0.0444,117.841,4,0.353
Forever Young,Alphaville,77,226706,0.42,0.489,0.483,0.0028,9,0.236,-9.466,0,0.0275,136.822,4,0.333
You Can Call Me Al,Paul Simon,69,276360,0.126,0.777,0.725,0.0108,5,0.0917,-9.012,1,0.047,128.349,4,0.851
Purple Rain,Prince,16,522306,0.0416,0.383,0.57,0.00683,10,0.746,-7.019,1,0.0318,114.147,4,0.183
Give It Up,KC & The Sunshine Band,63,245800,0.08,0.84,0.654,0.000259,3,0.063,-12.135,1,0.0621,125.68,4,0.841
Just Can't Get Enough,Depeche Mode,71,220893,0.403,0.766,0.772,0.0584,0,0.183,-9.362,1,0.0353,128.166,4,0.92
Break My Stride,Matthew Wilder,62,180240,0.2,0.901,0.654,0,10,0.165,-10.15,1,0.0655,110.131,4,0.781
9 to 5,Dolly Parton,75,162466,0.416,0.554,0.783,1.54E-06,6,0.631,-5.852,1,0.0457,105.39,4,0.813
Girls Just Want to Have Fun,Cyndi Lauper,70,228120,0.414,0.705,0.847,3.21E-06,6,0.406,-2.588,1,0.0361,120.527,4,0.743
I Just Called To Say I Love You,Stevie Wonder,71,262240,0.243,0.748,0.551,1.57E-06,1,0.0943,-9.054,1,0.0239,113.535,4,0.65
Total Eclipse of the Heart,Bonnie Tyler,75,269786,0.195,0.435,0.658,0,8,0.102,-8.179,1,0.0661,130.276,4,0.184
You're The Inspiration - 2006 Remastered Version,Chicago,72,229240,0.368,0.583,0.602,0,11,0.22,-6.364,1,0.0274,74.008,4,0.388
Nothing's Gonna Stop Us Now,Starship,75,270333,0.0298,0.643,0.801,0,6,0.0719,-4.921,1,0.0228,95.988,4,0.534
Sweet Child O' Mine,Guns N' Roses,81,354520,0.0852,0.454,0.91,0.0988,6,0.116,-7.766,1,0.0446,125.116,4,0.63
Money For Nothing,Dire Straits,73,510933,0.0575,0.662,0.644,0.000481,2,0.0645,-9.367,0,0.0394,134.213,4,0.643
Tainted Love,Soft Cell,26,162506,0.438,0.569,0.402,0,0,0.134,-10.151,1,0.0433,144.635,4,0.696
Eye of the Tiger,Survivor,77,245620,0.132,0.817,0.599,0.000311,0,0.0873,-9.249,0,0.0328,108.873,4,0.548
Beat It - Single Version,Michael Jackson,68,257906,0.0518,0.782,0.867,1.40E-05,3,0.218,-3.763,0,0.0487,138.859,4,0.896
Red Red Wine,UB40,77,183733,0.00414,0.857,0.468,1.32E-05,1,0.269,-8.53,1,0.0476,89.119,4,0.843
Gloria,Laura Branigan,69,295066,0.135,0.775,0.866,0.0376,9,0.152,-3.598,1,0.0295,131.34,4,0.876
(I Just) Died In Your Arms,Cutting Crew,72,278626,0.0119,0.632,0.727,7.64E-05,11,0.0678,-11.209,0,0.0438,124.919,4,0.499
Careless Whisper,George Michael,68,302600,0.232,0.583,0.545,0,2,0.133,-11.698,0,0.0351,153.25,4,0.8
Jump - Remastered Version,Van Halen,67,244106,0.123,0.553,0.838,3.01E-05,0,0.053,-5.824,1,0.0317,129.893,4,0.821
I'm So Excited,The Pointer Sisters,71,229466,0.103,0.688,0.858,0.000118,5,0.147,-6.496,0,0.0348,92.253,4,0.697
In The Air Tonight - 2015 Remastered,Phil Collins,77,336453,0.551,0.446,0.239,4.10E-06,0,0.0697,-13.945,1,0.0316,189.507,4,0.298
Let's Dance - Single Version [Remastered],David Bowie,55,248586,0.00773,0.643,0.627,0.00259,8,0.123,-10.972,1,0.0405,114.477,4,0.725
Walk Of Life,Dire Straits,38,249960,0.405,0.461,0.918,0.00033,4,0.126,-8.507,1,0.0959,172.435,4,0.802
The Best - Edit,Tina Turner,70,250133,0.0149,0.681,0.83,0.00376,0,0.214,-6.088,1,0.0271,103.777,4,0.817
Material Girl,Madonna,73,240280,0.333,0.742,0.883,7.51E-06,0,0.0964,-3.419,1,0.0329,136.506,4,0.978
Don't You Want Me - 2002 - Remaster,The Human League,23,238000,0.184,0.734,0.744,0,9,0.181,-8.103,0,0.0391,117.651,4,0.961
Faith - Remastered,George Michael,75,193200,0.0094,0.887,0.48,3.58E-05,11,0.0662,-11.994,1,0.117,95.846,4,0.607
She Drives Me Crazy,Fine Young Cannibals,25,218906,0.164,0.796,0.693,1.77E-05,2,0.0408,-6.02,1,0.0413,108.8,4,0.954
All Night Long (All Night) - Single Version,Lionel Richie,38,260426,0.134,0.741,0.576,0.00795,1,0.0502,-12.044,1,0.0487,108.787,4,0.764
Kiss (45 Version),Prince,50,227493,0.0113,0.899,0.237,0.00152,7,0.098,-14.805,1,0.102,111.503,4,0.744
It's Raining Men,The Weather Girls,60,211533,0.461,0.66,0.927,5.73E-05,5,0.699,-5.867,0,0.156,136.247,4,0.458
The Boys Of Summer,Don Henley,31,288333,0.399,0.516,0.776,0.00128,6,0.21,-6.409,1,0.0412,177.399,4,0.859
Paradise City,Guns N' Roses,77,405640,0.0169,0.273,0.952,0.0112,11,0.142,-8.762,1,0.0841,100.269,4,0.475
TRUE,Spandau Ballet,68,328293,0.506,0.744,0.545,0.0977,0,0.0649,-9.361,1,0.0297,97.409,4,0.346
(I've Had) The Time of My Life,Bill Medley,63,289066,0.0874,0.7,0.781,0.00342,6,0.059,-8.255,0,0.0507,108.695,4,0.385
"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,72,255733,0.0613,0.497,0.719,0,6,0.411,-9.397,1,0.0266,95.769,4,0.547
Our House,Madness,62,190840,0.0267,0.524,0.802,3.83E-06,0,0.224,-5.13,1,0.0432,121.35,4,0.712
The Look,Roxette,70,237320,0.0531,0.634,0.838,8.34E-06,2,0.0522,-5.363,1,0.0413,95.011,4,0.541
Broken Wings,Mr. Mister,63,343933,0.134,0.286,0.5,4.57E-05,1,0.108,-14.281,0,0.0357,99.162,4,0.443
Invisible Touch - Remastered 2007,Genesis,66,210133,0.202,0.623,0.94,0.00184,0,0.0472,-5.731,1,0.0365,131.037,4,0.837
Bye Bye Bye,*NSYNC,71,200560,0.0408,0.614,0.928,0.00104,8,0.0845,-4.806,0,0.0516,172.656,4,0.879
Heal the World,Michael Jackson,70,384306,0.537,0.534,0.485,1.79E-06,9,0.104,-8.045,1,0.0467,80.923,4,0.102
I'll Be Missing You (feat. 112),Diddy,75,301520,0.0522,0.862,0.479,0.00126,7,0.589,-9.199,1,0.0646,109.878,4,0.925
Wonderwall,Oasis,23,258613,0.000807,0.409,0.892,0,2,0.207,-4.373,1,0.0336,174.426,4,0.651
Zombie,The Cranberries,82,306410,0.0163,0.299,0.613,0.00359,7,0.368,-9.012,1,0.0347,166.96,4,0.306
Black or White - Single Version,Michael Jackson,71,202853,0.0824,0.741,0.894,0.0527,4,0.089,-3.826,1,0.0495,114.869,4,0.96
Iris,The Goo Goo Dolls,77,289533,0.00125,0.315,0.715,7.97E-06,11,0.0942,-8.072,0,0.0362,155.925,3,0.497
No Diggity,Blackstreet,40,304600,0.303,0.868,0.646,0,1,0.284,-4.674,0,0.288,88.641,4,0.67
Say My Name,Destiny's Child,72,271333,0.274,0.522,0.676,0,5,0.134,-3.571,0,0.16,67.427,4,0.746
Mambo No. 5 (A Little Bit of...),Lou Bega,27,219600,0.107,0.607,0.802,0,5,0.305,-6.849,0,0.403,174.201,4,0.901
Kiss Me,Sixpence None The Richer,25,205239,0.116,0.529,0.741,1.23E-06,3,0.0736,-5.661,1,0.0268,100.004,4,0.455
Don't Look Back in Anger,Oasis,59,287826,0.0303,0.349,0.912,8.03E-06,0,0.12,-3.603,1,0.0692,164.001,4,0.224
Torn,Natalie Imbruglia,72,244813,0.0746,0.559,0.928,5.56E-05,5,0.696,-3.04,1,0.0355,96.315,4,0.599
All That She Wants,Ace of Base,68,211213,0.00526,0.707,0.628,8.21E-05,11,0.104,-9.684,1,0.0877,187.548,4,0.87
...Baby One More Time,Britney Spears,78,211066,0.202,0.759,0.699,0.000131,0,0.443,-5.745,0,0.0307,92.96,4,0.907
I Want It That Way,Backstreet Boys,80,213600,0.216,0.689,0.702,0,6,0.159,-5.642,0,0.0261,99.031,4,0.484
Return Of The Mack,Mark Morrison,73,213093,0.00631,0.715,0.833,0,2,0.164,-5.379,1,0.108,95.487,4,0.612
It's Oh So Quiet,Björk,52,217733,0.631,0.474,0.136,0,3,0.0717,-14.114,1,0.0595,124.412,3,0.2
Crash into Me,Dave Matthews Band,61,316333,0.218,0.529,0.654,0.00233,4,0.102,-10.04,1,0.0367,101.258,4,0.485
Would I Lie To You?,Charles & Eddie,20,204586,0.352,0.567,0.602,0,11,0.15,-8.619,0,0.0786,202.351,4,0.767
Ghetto Supastar (That is What You Are),Pras,70,261133,0.0335,0.818,0.653,5.46E-06,1,0.22,-8.396,1,0.204,99.931,4,0.533
Ants Marching,Dave Matthews Band,51,271186,0.0187,0.637,0.856,1.99E-05,2,0.0157,-4.34,1,0.034,113.32,4,0.846
No Scrubs,TLC,81,214400,0.0251,0.743,0.675,0.000717,8,0.0685,-4.267,0,0.0953,92.909,4,0.59
Gangsta's Paradise (feat. L.V.),Coolio,27,241933,0.0372,0.641,0.63,0,8,0.4,-6.393,1,0.0521,79.955,4,0.415
Basket Case,Green Day,81,181533,0.00293,0.442,0.943,8.71E-06,3,0.091,-3.205,1,0.0602,85.064,4,0.781
Smells Like Teen Spirit,Nirvana,81,301920,2.55E-05,0.502,0.912,0.000173,1,0.106,-4.556,1,0.0564,116.761,4,0.72
Losing My Religion,R.E.M.,28,267733,0.0767,0.672,0.841,0,9,0.135,-5.992,0,0.0285,125.437,4,0.82
Enjoy the Silence,Depeche Mode,71,255133,0.2,0.663,0.838,0.000177,0,0.0782,-5.744,0,0.0286,112.788,4,0.752
What's Up?,4 Non Blondes,40,295493,0.156,0.566,0.57,0,11,0.118,-9.875,0,0.0285,134.537,4,0.491
Two Princes,Spin Doctors,74,256733,0.00162,0.543,0.912,2.10E-06,7,0.0565,-10.71,1,0.0601,103.731,4,0.836
Hero,Mariah Carey,71,257733,0.735,0.501,0.378,0,4,0.119,-9.37,1,0.029,119.987,4,0.178
Kiss From A Rose,Seal,55,289226,0.63,0.587,0.493,0,8,0.224,-8.368,1,0.0296,131.727,3,0.21
Truly Madly Deeply,Savage Garden,72,277266,0.403,0.555,0.698,0,0,0.0851,-8.874,1,0.0287,168.12,4,0.816
Virtual Insanity - Remastered,Jamiroquai,59,228333,0.13,0.651,0.946,0,6,0.148,-4.717,1,0.101,91.911,4,0.508
Shoop,Salt-N-Pepa,64,248573,0.0915,0.939,0.675,0,0,0.0565,-7.232,1,0.211,96.918,4,0.795
It Wasn't Me,Shaggy,39,227600,0.0561,0.853,0.606,0,0,0.313,-4.596,1,0.0713,94.759,4,0.654
The Rockafeller Skank - Short Edit,Fatboy Slim,49,241466,0.00476,0.572,0.987,0.00679,7,0.348,-6.259,1,0.281,152.636,4,0.126
Hedonism (Just Because You Feel Good),Skunk Anansie,51,207360,0.0874,0.563,0.536,0.000105,10,0.164,-9.488,1,0.0286,81.094,4,0.312
Are You Gonna Go My Way,Lenny Kravitz,75,211933,0.00165,0.619,0.67,0.0109,11,0.331,-10.319,0,0.0353,129.267,4,0.777
If It Makes You Happy,Sheryl Crow,62,324840,0.0409,0.541,0.692,0.000178,7,0.108,-7.056,1,0.0278,95.446,4,0.303
All Star,Smash Mouth,83,200373,0.0319,0.731,0.861,0,11,0.0829,-5.881,1,0.0323,104.034,4,0.78
Don't Speak,No Doubt,66,262746,0.274,0.499,0.761,9.38E-06,5,0.137,-5.436,0,0.0367,76.118,4,0.582
Save Tonight,Eagle-Eye Cherry,59,236040,0.000154,0.548,0.742,3.97E-05,0,0.109,-6.536,1,0.0337,119.496,4,0.583
Killing Me Softly With His Song,Fugees,72,298773,0.0279,0.765,0.29,1.02E-06,4,0.571,-17.117,0,0.139,92.409,4,0.506
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,70,283747,0.259,0.822,0.969,0.000162,7,0.39,-11.471,0,0.0582,128.007,4,0.765
"Boom, Boom, Boom, Boom!!",Vengaboys,74,201840,0.0108,0.8,0.894,0.437,6,0.0285,-7.346,0,0.04,138.48,4,0.967
Wannabe,Spice Girls,81,173026,0.101,0.768,0.864,0,11,0.162,-6.145,1,0.0324,110.008,4,0.891
Genie in a Bottle,Christina Aguilera,73,217573,0.21,0.627,0.8,0.000123,1,0.137,-6.945,1,0.162,175.815,4,0.912
Can I Kick It?,A Tribe Called Quest,72,251573,0.173,0.848,0.666,0.000699,0,0.129,-6.547,1,0.274,96.662,4,0.744
U Can't Touch This,MC Hammer,73,257360,0.00456,0.867,0.517,0.000339,11,0.0864,-13.222,0,0.0875,133.148,4,0.866
Summertime - Single Edit,DJ Jazzy Jeff & The Fresh Prince,55,237093,0.00328,0.614,0.752,0,7,0.379,-6.271,1,0.0652,95.018,4,0.444
I Wish,Skee-Lo,59,249293,0.00137,0.669,0.809,0,7,0.38,-7.146,1,0.147,97.885,4,0.572
Hypnotize,The Notorious B.I.G.,69,230000,0.176,0.895,0.694,0,9,0.292,-4.384,1,0.275,93.944,4,0.632
My Love Is Your Love,Whitney Houston,58,260120,0.0449,0.77,0.471,3.95E-06,7,0.0669,-9.578,1,0.156,82.515,4,0.474
"Baby, I Love Your Way",Big Mountain,73,249520,0.0528,0.651,0.747,0,1,0.207,-7.269,0,0.0699,147.518,4,0.776
The Sign,Ace of Base,16,187710,0.0111,0.814,0.862,0.0289,7,0.026,-4.41,1,0.0442,97.008,4,0.889
Step by Step,New Kids On The Block,63,267293,0.0274,0.787,0.63,6.69E-06,0,0.161,-12.295,1,0.0609,125.347,4,0.882
Nothing Compares 2 U,Sinéad O'Connor,58,280040,0.0425,0.511,0.574,2.33E-05,5,0.105,-7.016,1,0.0273,119.917,4,0.161
Californication,Red Hot Chili Peppers,82,329733,0.0021,0.592,0.767,0.00165,9,0.127,-2.788,0,0.027,96.483,4,0.328
Nothing Else Matters,Metallica,29,388733,0.0505,0.558,0.364,5.02E-06,4,0.0753,-11.258,0,0.0265,142.171,3,0.17
Livin' la Vida Loca,Ricky Martin,73,243160,0.00411,0.425,0.954,0,1,0.0555,-3.756,0,0.0476,178.043,4,0.933
Doo Wop (That Thing),Ms. Lauryn Hill,76,320266,0.0393,0.535,0.505,0,2,0.0923,-8.926,0,0.245,99.935,4,0.495
Bitter Sweet Symphony,The Verve,32,358426,0.0415,0.389,0.889,0,9,0.463,-6.546,1,0.0442,171.121,4,0.524
MMMBop - Single Version,Hanson,29,238533,0.00456,0.692,0.912,0.00273,9,0.0616,-7.733,1,0.0513,104.862,4,0.642
"Rhythm Is A Dancer - 7"" Edit",SNAP!,23,225866,0.251,0.794,0.756,0.000611,9,0.122,-11.331,0,0.0343,124.25,4,0.759
What Is Love,Haddaway,72,270373,0.0222,0.683,0.772,0.0149,7,0.203,-7.907,0,0.0311,123.871,4,0.737
Thank You,Dido,69,218360,0.3,0.725,0.583,0.000215,1,0.0665,-9.942,0,0.0424,79.984,4,0.765
Say You'll Be There - シングル・ミックス,Spice Girls,68,235973,0.0149,0.726,0.679,1.49E-06,1,0.0837,-6.219,1,0.0473,107.02,4,0.751
Just A Girl,No Doubt,27,208400,0.0799,0.641,0.914,6.54E-05,2,0.132,-4.798,1,0.05,107.996,4,0.723
Pump Up The Jam,Technotronic,57,320306,0.0148,0.886,0.844,4.36E-06,10,0.0494,-9.224,0,0.0734,124.602,4,0.715
Damn I Wish I Was Your Lover,Sophie B. Hawkins,56,323400,0.281,0.563,0.806,1.49E-05,2,0.363,-6.826,1,0.0496,95.188,4,0.42
Runaway Train,Soul Asylum,70,265866,0.0132,0.613,0.72,0,0,0.104,-7.957,1,0.0425,117.341,4,0.561
This Is How We Do It,Montell Jordan,67,238800,0.0159,0.799,0.63,0,0,0.453,-9.279,1,0.0748,103.647,4,0.772
Ice Ice Baby,Vanilla Ice,66,271466,0.027,0.98,0.535,1.68E-06,2,0.104,-16.035,1,0.058,115.744,4,0.675
Mr. Vain - Original Radio Edit,Culture Beat,69,257466,0.0726,0.703,0.997,0.0235,9,0.123,-7.666,0,0.0399,132.872,4,0.391
Under The Bridge,Red Hot Chili Peppers,83,264306,0.0576,0.559,0.345,0.000105,4,0.141,-13.496,1,0.0459,84.581,4,0.458
Here Comes the Hotstepper,Ini Kamoze,55,244813,0.0328,0.852,0.537,0.000248,7,0.229,-7.424,1,0.114,100.369,4,0.483
Butterfly,Crazy Town,73,216733,0.00132,0.736,0.811,0.000142,9,0.107,-4.17,0,0.081,103.502,4,0.609
Groove Is In The Heart,Deee-Lite,66,231786,0.0153,0.694,0.881,0.0196,1,0.0851,-4.053,0,0.0701,121.554,4,0.924
I'm Too Sexy,Right Said Fred,63,170466,4.91E-05,0.683,0.739,0.0122,11,0.293,-12.831,0,0.0495,122.113,4,0.836
Together Again,Janet Jackson,68,301200,0.0788,0.873,0.591,0.0071,7,0.104,-8.942,1,0.102,123.091,4,0.496
Closing Time,Semisonic,33,273533,0.0204,0.481,0.865,1.24E-06,7,0.17,-5.498,1,0.0283,92.086,4,0.241
